site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Acuna Island,ACUN,48.2,-44.636999999999986,-60.76119999999889,ad{\'e}lie penguin,25,2,2011,2010,3079,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Adams Island,ADAM,58.4.1,92.54859999999996,-66.5458999999998,ad{\'e}lie penguin,21,1,2011,2010,425,1,adults,aerial photo,<strong>Southwell  C. and L. Emmerson  </strong><i> 2013</i>. First population counts at newly discovered Ad&#233;lie penguin <i>Pygoscelis adeliae</i> breeding sites along the Wilhelm II  Queen Mary and Wilkes Land coastlines  East Antarctica. Marine Ornithology 41:87-89.
Cape Adare,ADAR,88.1,170.19989999999996,-71.30629999999995,ad{\'e}lie penguin,,12,2013,2013,428516,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Akarui Point,AKAR,58.4.2,41.39009999999998,-68.4998999999999,ad{\'e}lie penguin,11,2,2011,2010,106,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Alasheyev Bight,ALAS,58.4.2,46.108999999999995,-67.65399999999987,ad{\'e}lie penguin,25,3,2009,2008,1080,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Ambush Bay,AMBU,48.1,-55.39299999999999,-63.18399999999944,ad{\'e}lie penguin,12,1,2011,2010,17621,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Amphibolite Point,AMPH,48.2,-45.33899999999999,-60.683999999998875,ad{\'e}lie penguin,25,2,2011,2010,7660,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Anchorage Island,ANCH,48.1,-68.20889999999997,-67.60419999999986,ad{\'e}lie penguin,,,2016,2016,0,1,nests,ground,<strong>Phillips  R. and H. J. Lynch  </strong><i> ???? </i> Personal communication between Richard Phillips and Heather Lynch. personal communication.
Andresen Island Site 2,ANDI,48.1,-66.71099999999998,-66.87499999999982,ad{\'e}lie penguin,22,1,2016,2015,495,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Andresen Island Site 1,ANDR,48.1,-66.64899999999999,-66.87899999999983,ad{\'e}lie penguin,22,1,2016,2015,1433,2,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Andersen Island,ANDS,58.4.2,63.357199999999985,-67.43529999999986,ad{\'e}lie penguin,23,11,2005,2005,5000,5,nests,ground,<strong>Low  M.  L. Meyer  and C. Southwell  </strong><i> 2007</i>. Number and distribution of Ad&#233;lie penguin (<i>Pygoscelis adeliae</i>) breeding sites in the Robinson Group of islands  Mac.Robertson Land coast  east Antarctica. Polar Record 43:225-229.
Cape Anne,ANNE,88.1,169.84999999999997,-73.61699999999999,ad{\'e}lie penguin,,12,2013,2013,522,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Ardley Island,ARDL,48.1,-58.932999999999986,-62.21299999999926,ad{\'e}lie penguin,11,1,2018,2017,338,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Armstrong Reef,ARMS,48.1,-66.21169999999998,-65.89189999999977,ad{\'e}lie penguin,8,1,2013,2012,2813,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Arthurson Ridge,ARTH,88.1,158.51089999999994,-69.36339999999991,ad{\'e}lie penguin,8,3,2012,2011,14461,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Auster Islands,AUST,58.4.2,63.97999999999999,-67.38999999999986,ad{\'e}lie penguin,28,12,2006,2006,2082,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Avian Island,AVIA,48.1,-68.88549999999998,-67.77319999999987,ad{\'e}lie penguin,14,1,2013,2012,47146,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Backer Islands,BACK,88.3,-102.55149999999999,-74.41119999999997,ad{\'e}lie penguin,6,2,2011,2010,465,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Balaena Islands,BALA,58.4.1,111.06879999999998,-66.01579999999977,ad{\'e}lie penguin,2,11,2011,2011,160,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Barcroft Islands,BARC,48.1,-67.13969999999999,-66.45749999999981,ad{\'e}lie penguin,10,1,2013,2012,211,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Cape Batterbee,BATT,58.4.2,53.81289999999999,-65.84199999999976,ad{\'e}lie penguin,3,2,2011,2010,30746,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Beagle Island,BEAG,48.1,-54.66749999999999,-63.41389999999948,ad{\'e}lie penguin,15,12,2015,2015,284535,2,nests,uav,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Beaufort Island North,BEAN,88.1,166.88099999999997,-76.92879999999998,ad{\'e}lie penguin,,12,2013,2013,989,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Beaufort Island,BEAU,88.1,166.89779999999996,-76.96939999999996,ad{\'e}lie penguin,,12,2013,2013,70468,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Bechervaise Island,BECH,58.4.2,62.81669999999999,-67.58329999999985,ad{\'e}lie penguin,,,2001,2001,2207,1,nests,ground,<strong>Clarke  J.  L. Emmerson  A. Townsend  and K. R. Kerry </strong><i> 2003</i>. Demographic characteristics of the Ad&#233;lie penguin population on B&#233;chervaise Island after 12 years of study. CCAMLR Science 10: 53-74.
Benten,BENT,58.4.2,39.24999999999999,-69.04169999999992,ad{\'e}lie penguin,,,2004,2004,23,1,adults,ground,<strong>Kato  A.  and Y. Ropert-Coudert </strong><i> 2006</i>. Rapid increase in Ad&#233;lie penguin populations in the L&#252tzow-Holm Bay area since the mid 1990s.  Polar Bioscience 20: 55-62.
Berkley/Cameron,BERK,58.4.1,110.63999999999997,-66.21629999999979,ad{\'e}lie penguin,30,1,2011,2010,13423,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Berthelot Islands (excl. Green Island),BERT,48.1,-64.11199999999998,-65.3329999999997,ad{\'e}lie penguin,6,1,2013,2012,313,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Cape Bienvenue,BIEN,58.4.1,140.52519999999998,-66.72029999999981,ad{\'e}lie penguin,16,2,2011,2010,35466,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
