site_name,site_id,ccamlr.region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Ambush Bay,AMBU,48.1,-55.393,-63.184,adelie penguin,12,1,2011,2010,17621,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Anchorage Island,ANCH,48.1,-68.2089,-67.6042,adelie penguin,NA,NA,2016,2016,0,1,nests,ground,<strong>Phillips  R. and H. J. Lynch  </strong><i> ???? </i> Personal communication between Richard Phillips and Heather Lynch. personal communication.
Andresen Island Site 2,ANDI,48.1,-66.711,-66.875,adelie penguin,22,1,2016,2015,495,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Andresen Island Site 1,ANDR,48.1,-66.649,-66.879,adelie penguin,22,1,2016,2015,1433,2,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,11,1,2018,2017,338,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Armstrong Reef,ARMS,48.1,-66.2117,-65.8919,adelie penguin,8,1,2013,2012,2813,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Avian Island,AVIA,48.1,-68.8855,-67.7732,adelie penguin,14,1,2013,2012,47146,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Barcroft Islands,BARC,48.1,-67.1397,-66.4575,adelie penguin,10,1,2013,2012,211,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Beagle Island,BEAG,48.1,-54.6675,-63.4139,adelie penguin,15,12,2015,2015,284535,2,nests,uav,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Berthelot Islands (excl. Green Island),BERT,48.1,-64.112,-65.333,adelie penguin,6,1,2013,2012,313,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Biscoe Point,BISC,48.1,-63.7775,-64.8114,adelie penguin,NA,NA,2012,2012,522,1,nests,ground,<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING  </strong><i> 2014a</i>. Management plan for Antarctic Specially Protected Area No. 139: Biscoe Point  Anvers Island  Palmer Archipelago. Measure 6  Final Report of the Thirty-seventh Antarctic Treaty Consultative Meeting  Brasilia  Brasil.
Bongrain Point (Pourquoi Pas Island),BONG,48.1,-67.7319,-67.7233,adelie penguin,11,1,2013,2012,2284,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
