site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Acuna Island,ACUN,48.2,-44.636999999999986,-60.76119999999889,chinstrap penguin,28,12,1983,1983,4000,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Ailsa Craig,AILS,48.2,-44.630999999999986,-60.7799999999989,chinstrap penguin,28,12,1983,1983,6000,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,chinstrap penguin,17,11,2011,2011,4047,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Aitken Cove,AITK,48.2,-44.52499999999999,-60.737999999998884,chinstrap penguin,28,12,1983,1983,3300,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Alcock Island,ALCO,48.1,-61.126999999999995,-64.23999999999958,chinstrap penguin,10,12,2010,2010,1016,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Amphibolite Point,AMPH,48.2,-45.33899999999999,-60.683999999998875,chinstrap penguin,31,12,1983,1983,4000,3,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Cape Anderson,ANDE,48.2,-44.600999999999985,-60.756999999998875,chinstrap penguin,28,12,1983,1983,100,3,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Anvers Island South West (7 km south of Gerlache Island),ANVS,48.1,-64.24999999999999,-64.65999999999964,chinstrap penguin,8,2,1987,1986,2,1,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129.
Ardley Island,ARDL,48.1,-58.932999999999986,-62.21299999999926,chinstrap penguin,11,12,2014,2014,15,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Armstrong Reef,ARMS,48.1,-66.21169999999998,-65.89189999999977,chinstrap penguin,8,1,2013,2012,1,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Aspland Island,ASPL,48.1,-55.89399999999999,-61.467999999999094,chinstrap penguin,29,12,1976,1976,8650,4,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
