"site_name","site_id","ccamlr.region","longitude_epsg_4326","latitude_epsg_4326","common_name","day","month","year","season_starting","penguin_count","accuracy","count_type","vantage","reference"
"Barrientos Island (Aitcho Islands)","AITC",48.1,-59.7517,-62.4070999999993,"chinstrap penguin",17,11,2011,2011,4047,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Alcock Island","ALCO",48.1,-61.127,-64.2399999999996,"chinstrap penguin",10,12,2010,2010,1016,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Anvers Island South West (7 km south of Gerlache Island)","ANVS",48.1,-64.25,-64.6599999999996,"chinstrap penguin",8,2,1987,1986,2,1,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Ardley Island","ARDL",48.1,-58.933,-62.2129999999993,"chinstrap penguin",11,12,2014,2014,15,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Armstrong Reef","ARMS",48.1,-66.2117,-65.8918999999998,"chinstrap penguin",8,1,2013,2012,1,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Aspland Island","ASPL",48.1,-55.894,-61.4679999999991,"chinstrap penguin",29,12,1976,1976,8650,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Astrolabe Island","ASTR",48.1,-58.683,-63.3159999999995,"chinstrap penguin",18,1,1987,1986,3400,4,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Bach Quartet","BACH",48.1,-58.028,-61.9209999999992,"chinstrap penguin",NA,NA,1980,1980,230,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Baily Head (Deception Island)","BAIL",48.1,-60.506,-62.9649999999994,"chinstrap penguin",NA,12,2011,2011,50408,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Barnard Point (Livingston Island)","BARN",48.1,-60.338,-62.7579999999994,"chinstrap penguin",NA,NA,1987,1987,13000,4,"nests","","<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom."
