site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Amanda Bay,AMAN,58.4.2,76.82999999999998,-69.26999999999991,emperor penguin,13,10,2009,2009,6831,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Amundsen Bay,AMUN,58.4.2,50.54999999999999,-66.77999999999983,emperor penguin,20,10,2009,2009,88,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Astrid,ASTD,48.6,8.309999999999999,-69.94999999999993,emperor penguin,11,11,2009,2009,1368,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Atka,ATKA,48.6,-8.129999999999997,-70.60999999999994,emperor penguin,8,9,2009,2009,9657,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Auster Islands,AUST,58.4.2,63.97999999999999,-67.38999999999986,emperor penguin,25,10,2009,2009,7855,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Bear Peninsula,BEAR,88.2,-110.19169999999997,-74.39219999999999,emperor penguin,18,11,2009,2009,9457,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Beaufort Island,BEAU,88.1,166.89779999999996,-76.96939999999996,emperor penguin,,,2012,2012,812,1,adults,aerial,<strong>Kooyman  G.L. and P.J. Ponganis  </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.
Bowman Island,BOWM,58.4.1,103.06999999999998,-65.15999999999968,emperor penguin,26,10,2009,2009,1609,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Brownson Islands,BSON,88.3,-103.63607399999998,-74.16811899999999,emperor penguin,18,11,2009,2009,5732,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
"Cape Colbeck, Edward VII Peninsula",CBEK,88.2,-157.69999999999996,-77.13999999999997,emperor penguin,,,2012,2012,17125,1,chicks,aerial,<strong>Kooyman  G.L. and P.J. Ponganis  </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.
Coulman Island,COUL,88.1,169.60999999999996,-73.34999999999997,emperor penguin,,,2012,2012,25428,1,adults,aerial,<strong>Kooyman  G.L. and P.J. Ponganis  </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.
Cape Crozier,CROZ,88.1,169.31999999999996,-77.45999999999997,emperor penguin,,,2012,2012,1189,1,adults,ground,<strong>Kooyman  G.L. and P.J. Ponganis  </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.
Cape Darnley,DARN,58.4.2,69.69999999999999,-67.87999999999988,emperor penguin,15,10,2009,2009,3465,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Dawson,DAWS,48.5,-26.66999999999999,-76.01999999999997,emperor penguin,13,10,2009,2009,2597,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Davis Bay,DBAY,88.1,158.48999999999998,-69.34999999999992,emperor penguin,11,10,2009,2009,1745,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Dibble Glacier,DIBB,58.4.1,134.78999999999996,-66.00999999999978,emperor penguin,12,10,2009,2009,12476,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Dolleman,DOLL,48.5,-60.42999999999999,-70.60999999999994,emperor penguin,4,10,2009,2009,1620,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Drescher,DRES,48.6,-19.339999999999993,-72.82999999999997,emperor penguin,4,10,2009,2009,2305,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Emperor Island,EMPE,48.1,-68.70999999999998,-67.86469999999987,emperor penguin,28,11,2009,2009,0,1,nests,,<strong>Trathan  P. N.  P. T. Fretwell  and B. Stonehouse</strong><i>  2011</i>. First recorded loss of an emperor penguin colony in the recent period of Antarctic regional warming: Implications for other colonies. PLoS ONE 6:e14738.
Fold Island,FOLD,58.4.2,59.319999999999986,-67.31999999999984,emperor penguin,14,10,2009,2009,213,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Franklin Island,FRAN,88.1,168.42999999999998,-76.17999999999999,emperor penguin,,,2012,2012,7073,1,adults,aerial,<strong>Kooyman  G.L. and P.J. Ponganis  </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.
Gould,GOUL,48.5,-47.67999999999998,-77.70999999999998,emperor penguin,14,10,2009,2009,8242,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
Gunnerus,GUNN,58.4.2,34.379999999999995,-68.7499999999999,emperor penguin,31,10,2009,2009,4652,2,adults,vhr,<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751.
