site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,31,12,2017,2017,1704,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.86669999999999,-64.88329999999966,gentoo penguin,16,2,2018,2017,209,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Ardley Island,ARDL,48.1,-58.932999999999986,-62.21299999999926,gentoo penguin,,,2005,2005,4635,1,nests,ground,<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING  </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island  Maxwell Bay  King George Island (25 De Mayo). Measure 9  Final Report of the Thirty-second Antarctic Treaty Consultative Meeting  Baltimore  United States.
Barnard Point (Livingston Island),BARN,48.1,-60.33799999999999,-62.75799999999937,gentoo penguin,,,1987,1987,600,1,nests,ground,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
Barton Peninsula,BART,48.1,-58.790999999999976,-62.22399999999926,gentoo penguin,,,2013,2013,2378,2,nests,,<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING  </strong><i> 2014b</i>. Management plan for Antarctic Specially Protected Area No. 171: 4 Nar&#281;bski Point  Barton Peninsula  King George Island. Measure 11  Final Report of the Thirty-second Antarctic Treaty Consultative Meeting  Brasilia  Brasil.
Beneden Head,BENE,48.1,-62.700999999999986,-64.76709999999966,gentoo penguin,30,12,2015,2015,1311,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Bernardo O'Higgins Station,BERN,48.1,-57.899999999999984,-63.32089999999946,gentoo penguin,2,12,1996,1996,,,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Biscoe Point,BISC,48.1,-63.77749999999999,-64.81139999999965,gentoo penguin,,,2012,2012,3197,1,nests,ground,<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING  </strong><i> 2014a</i>. Management plan for Antarctic Specially Protected Area No. 139: Biscoe Point  Anvers Island  Palmer Archipelago. Measure 6  Final Report of the Thirty-seventh Antarctic Treaty Consultative Meeting  Brasilia  Brasil.
Brash Island,BRAS,48.1,-54.914166999999985,-63.386388999999475,gentoo penguin,17,12,2015,2015,2270,1,nests,ground,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Brittannia's Figleaf,BRIT,48.1,-55.21299999999999,-61.277999999999025,gentoo penguin,13,12,2016,2016,396,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Bluff,BROW,48.1,-56.904999999999994,-63.52219999999949,gentoo penguin,1,1,2018,2017,793,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Bryde Island East,BRYE,48.1,-62.927221999999986,-64.88972199999967,gentoo penguin,7,1,2018,2017,520,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Bryde Island South,BRYS,48.1,-62.94999999999999,-64.89999999999968,gentoo penguin,16,2,2018,2017,905,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Charles Point,CHPT,48.1,-60.99999999999998,-64.23599999999959,gentoo penguin,11,1,2011,2010,795,1,nests,ground,<strong>Gonz&#225;lez-Zevallos  D.  M. M. Santos  E. F. Rombol&#225;  M. A. Ju&#225;res  and N. R. Coria  </strong><i> 2013</i>. Abundance and breeding distribution of seabirds in the northern part of the Danco Coast  Antarctic Peninsula. Polar Research 32:1-7.
Christoffersen Island,CHRI,48.2,-45.03499999999999,-60.727999999998886,gentoo penguin,27,12,1983,1983,324,1,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Cierva Point,CIER,48.1,-60.95999999999999,-64.15699999999957,gentoo penguin,2,1,2015,2014,3303,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Cape Conway,CONW,48.1,-61.42239999999999,-62.841499999999385,gentoo penguin,8,2,1987,1986,400,3,nests,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Cuverville Island,CUVE,48.1,-62.625999999999976,-64.68399999999964,gentoo penguin,7,1,2018,2017,6903,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Dorian Bay/Damoy Point,DAMO,48.1,-63.496799999999986,-64.81489999999965,gentoo penguin,4,1,2018,2017,1989,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Danco Island,DANC,48.1,-62.59379999999999,-64.73399999999965,gentoo penguin,3,1,2018,2017,2623,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Dorian Beacon,DOBE,48.1,-63.496799999999986,-64.81489999999965,gentoo penguin,25,2,2018,2017,264,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Dundee Island,DUND,48.1,-55.96599999999999,-63.482999999999485,gentoo penguin,,,1895,1895,40,1,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Duthiers Point,DUPT,48.1,-62.81789999999999,-64.80489999999965,gentoo penguin,23,12,2013,2013,291,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Duroch Islands,DURO,48.1,-57.89029999999999,-63.30329999999945,gentoo penguin,,,1965,1965,,,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
d'Urville Monument,DURV,48.1,-56.294399999999996,-63.42669999999948,gentoo penguin,12,12,2016,2016,962,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Earle Island,EARL,48.1,-54.78329999999999,-63.48329999999949,gentoo penguin,14,12,2015,2015,847,1,nests,ground,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Elephant Point,ELPT,48.1,-60.85729999999999,-62.69239999999937,gentoo penguin,4,1,1958,1957,400,4,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Ferrier Peninsula,FERR,48.2,-44.42499999999998,-60.71499999999888,gentoo penguin,,,1947,1947,,,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Fort Point (Greenwich Island),FORT,48.1,-59.579999999999984,-62.54199999999932,gentoo penguin,8,1,2018,2017,837,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Galindez Island East,GALE,48.1,-64.23989999999999,-65.24759999999971,gentoo penguin,13,1,2015,2014,391,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Galindez Island South,GALS,48.1,-64.24599999999998,-65.2519999999997,gentoo penguin,6,1,2013,2012,49,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Georges Point (Ronge Island),GEOR,48.1,-62.66959999999999,-64.66939999999963,gentoo penguin,15,2,2018,2017,3472,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
