"site_name","site_id","ccamlr.region","longitude_epsg_4326","latitude_epsg_4326","common_name","day","month","year","season_starting","penguin_count","accuracy","count_type","vantage","reference"
"Barrientos Island (Aitcho Islands)","AITC",48.1,-59.7517,-62.4070999999993,"gentoo penguin",31,12,2017,2017,1704,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Brown Station","ALMI",48.1,-62.8667,-64.8832999999997,"gentoo penguin",16,2,2018,2017,209,1,"chicks","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Ardley Island","ARDL",48.1,-58.933,-62.2129999999993,"gentoo penguin",NA,NA,2005,2005,4635,1,"nests","ground","<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING  </strong><i> 2009c</i>.  Management plan for Antarctic Specially Protected Area No. 150: Ardley Island  Maxwell Bay  King George Island (25 De Mayo). Measure 9  Final Report of the Thirty-second Antarctic Treaty Consultative Meeting  Baltimore  United States."
"Barnard Point (Livingston Island)","BARN",48.1,-60.338,-62.7579999999994,"gentoo penguin",NA,NA,1987,1987,600,1,"nests","ground","<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom."
"Barton Peninsula","BART",48.1,-58.791,-62.2239999999993,"gentoo penguin",NA,NA,2013,2013,2378,2,"nests","","<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING  </strong><i> 2014b</i>. Management plan for Antarctic Specially Protected Area No. 171: 4 Nar&#281;bski Point  Barton Peninsula  King George Island. Measure 11  Final Report of the Thirty-second Antarctic Treaty Consultative Meeting  Brasilia  Brasil."
"Beneden Head","BENE",48.1,-62.701,-64.7670999999997,"gentoo penguin",30,12,2015,2015,1311,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Bernardo O'Higgins Station","BERN",48.1,-57.9,-63.3208999999995,"gentoo penguin",2,12,1996,1996,NA,NA,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Biscoe Point","BISC",48.1,-63.7775,-64.8113999999997,"gentoo penguin",NA,NA,2012,2012,3197,1,"nests","ground","<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING  </strong><i> 2014a</i>. Management plan for Antarctic Specially Protected Area No. 139: Biscoe Point  Anvers Island  Palmer Archipelago. Measure 6  Final Report of the Thirty-seventh Antarctic Treaty Consultative Meeting  Brasilia  Brasil."
"Brash Island","BRAS",48.1,-54.914167,-63.3863889999995,"gentoo penguin",17,12,2015,2015,2270,1,"nests","ground","<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926."
"Brittannia's Figleaf","BRIT",48.1,-55.213,-61.277999999999,"gentoo penguin",13,12,2016,2016,396,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Brown Bluff","BROW",48.1,-56.905,-63.5221999999995,"gentoo penguin",1,1,2018,2017,793,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Bryde Island East","BRYE",48.1,-62.927222,-64.8897219999997,"gentoo penguin",7,1,2018,2017,520,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Bryde Island South","BRYS",48.1,-62.95,-64.8999999999997,"gentoo penguin",16,2,2018,2017,905,1,"chicks","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
